filename	number	category	descriptor	width	height	format	bytes	original_filename	source	license	inventor	page	patent	variant
lynn_conway_us5046022_1bitoriginal/6021_scans-patents_lynn-conway-us5046022-1bit_p022_2320x3408.png	6021	scans-patents	lynn-conway-us5046022-1bit_p022	2320	3408	png	176595	page_022.png	uspto	PD	lynn-conway	22	us5046022	1bit
lynn_conway_us5046022_1bitoriginal/6022_scans-patents_lynn-conway-us5046022-1bit_p023_2320x3408.png	6022	scans-patents	lynn-conway-us5046022-1bit_p023	2320	3408	png	176736	page_023.png	uspto	PD	lynn-conway	23	us5046022	1bit
lynn_conway_us5046022_1bitoriginal/6023_scans-patents_lynn-conway-us5046022-1bit_p024_2320x3408.png	6023	scans-patents	lynn-conway-us5046022-1bit_p024	2320	3408	png	166191	page_024.png	uspto	PD	lynn-conway	24	us5046022	1bit
lynn_conway_us5046022_1bitoriginal/6024_scans-patents_lynn-conway-us5046022-1bit_p025_2320x3408.png	6024	scans-patents	lynn-conway-us5046022-1bit_p025	2320	3408	png	168139	page_025.png	uspto	PD	lynn-conway	25	us5046022	1bit
lynn_conway_us5046022_1bitoriginal/6025_scans-patents_lynn-conway-us5046022-1bit_p026_2320x3408.png	6025	scans-patents	lynn-conway-us5046022-1bit_p026	2320	3408	png	165224	page_026.png	uspto	PD	lynn-conway	26	us5046022	1bit
lynn_conway_us5046022_1bitoriginal/6026_scans-patents_lynn-conway-us5046022-1bit_p027_2320x3408.png	6026	scans-patents	lynn-conway-us5046022-1bit_p027	2320	3408	png	80839	page_027.png	uspto	PD	lynn-conway	27	us5046022	1bit
lynn_conway_us5046022_1bitoriginal/6027_scans-patents_lynn-conway-us5046022-1bit_p028_2320x3408.png	6027	scans-patents	lynn-conway-us5046022-1bit_p028	2320	3408	png	60210	page_028.png	uspto	PD	lynn-conway	28	us5046022	1bit
lynn_conway_us5046022_1bitoriginal/6028_scans-patents_lynn-conway-us5046022-1bit_p029_2320x3408.png	6028	scans-patents	lynn-conway-us5046022-1bit_p029	2320	3408	png	37018	page_029.png	uspto	PD	lynn-conway	29	us5046022	1bit
lynn_conway_us5046022_printrescancolor300/6029_scans-patents_lynn-conway-us5046022-rescan-color_p001_2479x3230.jpg	6029	scans-patents	lynn-conway-us5046022-rescan-color_p001	2479	3230	jpg	1057021	page_001.jpg	uspto	PD	lynn-conway	1	us5046022	rescan-color
lynn_conway_us5046022_printrescancolor300/6030_scans-patents_lynn-conway-us5046022-rescan-color_p002_2479x3230.jpg	6030	scans-patents	lynn-conway-us5046022-rescan-color_p002	2479	3230	jpg	715352	page_002.jpg	uspto	PD	lynn-conway	2	us5046022	rescan-color
