filename	number	category	descriptor	width	height	format	bytes	original_filename	source	license	keyinfo	pd_basis	sha256	source_class	source_description	source_url
color/5012_nps_fova-mcho-map_color_p01_716x714.png	5012	nps	fova-mcho-map_color_p01	716	714	png	224193	nps_nps-fova-MCHO-Map-Accessible-PDF_p01.png	nps	PD-USGov	color|p01	PD: 17 USC §105 — NPS federal-employee work; unigrid system (Vignelli 1977) produced by NPS Harpers Ferry Center	4f4ec9fafa6efdead0010cb7379739cca5fd3b2e8afe13883beeedbe574c4472	NPS	National Park Service unigrid brochures, park maps, site bulletins	https://www.nps.gov/
color/5013_nps_grca-grcamap2_color_p01_3000x2250.png	5013	nps	grca-grcamap2_color_p01	3000	2250	png	4788499	nps_nps-grca-GRCAmap2_p01.png	nps	PD-USGov	color|p01	PD: 17 USC §105 — NPS federal-employee work; unigrid system (Vignelli 1977) produced by NPS Harpers Ferry Center	f677e47abc4aca6ac906cb695fab685615104e2a832ae6c7ee3459176d5f23dc	NPS	National Park Service unigrid brochures, park maps, site bulletins	https://www.nps.gov/
color/5014_nps_grca-sr-pocket-map_color_p01_9355x2481.png	5014	nps	grca-sr-pocket-map_color_p01	9355	2481	png	12341482	nps_nps-grca-sr-pocket-map_p01.png	nps	PD-USGov	color|p01	PD: 17 USC §105 — NPS federal-employee work; unigrid system (Vignelli 1977) produced by NPS Harpers Ferry Center	dca9614be7f922c8b26a597fde9b9844155a955bfeb78621460e8d9192ced284	NPS	National Park Service unigrid brochures, park maps, site bulletins	https://www.nps.gov/
color/5015_nps_grca-sr-pocket-map_color_p02_9355x2481.png	5015	nps	grca-sr-pocket-map_color_p02	9355	2481	png	33036965	nps_nps-grca-sr-pocket-map_p02.png	nps	PD-USGov	color|p02	PD: 17 USC §105 — NPS federal-employee work; unigrid system (Vignelli 1977) produced by NPS Harpers Ferry Center	eeb76d0abca3b9a1b1c2fe26a8f2f44f3e8cc7685f4ed1a64837795971206cfc	NPS	National Park Service unigrid brochures, park maps, site bulletins	https://www.nps.gov/
color/5016_nps_grsm-grsm-area-map_color_p01_10182x5460.png	5016	nps	grsm-grsm-area-map_color_p01	10182	5460	png	29327435	nps_nps-grsm-GRSM_Area_Map_p01.png	nps	PD-USGov	color|p01	PD: 17 USC §105 — NPS federal-employee work; unigrid system (Vignelli 1977) produced by NPS Harpers Ferry Center	2489ab80e3bd4bea9bb6e6dcd8025c894f6ac11dad4266042cd062b8cdb53f85	NPS	National Park Service unigrid brochures, park maps, site bulletins	https://www.nps.gov/
color/5017_nps_grsm-grsm-trail-map_color_p01_9146x5272.png	5017	nps	grsm-grsm-trail-map_color_p01	9146	5272	png	36009637	nps_nps-grsm-GRSM_Trail_Map_p01.png	nps	PD-USGov	color|p01	PD: 17 USC §105 — NPS federal-employee work; unigrid system (Vignelli 1977) produced by NPS Harpers Ferry Center	a034c17ec389f7a3adb09f7cba17e95509689bc4532940ae8a34769560660605	NPS	National Park Service unigrid brochures, park maps, site bulletins	https://www.nps.gov/
color/5018_nps_katm-katm-park-map_color_p01_5650x5200.png	5018	nps	katm-katm-park-map_color_p01	5650	5200	png	23392630	nps_nps-katm-KATM_Park-Map_for_web_p01.png	nps	PD-USGov	color|p01	PD: 17 USC §105 — NPS federal-employee work; unigrid system (Vignelli 1977) produced by NPS Harpers Ferry Center	d980ffde13db7f533d7e620989a7aa59bafd7bd9e530e49366012fd02fe9d464	NPS	National Park Service unigrid brochures, park maps, site bulletins	https://www.nps.gov/
color/5019_nps_npsa-area-map_color_p01_6300x2475.png	5019	nps	npsa-area-map_color_p01	6300	2475	png	13670167	nps_nps-npsa-Area_Map_p01.png	nps	PD-USGov	color|p01	PD: 17 USC §105 — NPS federal-employee work; unigrid system (Vignelli 1977) produced by NPS Harpers Ferry Center	fa0d8f08a707ac7dab33beb3f4ac3273f873744f2d8b4e5034064cfdb128a816	NPS	National Park Service unigrid brochures, park maps, site bulletins	https://www.nps.gov/
color/5020_nps_npsa-area-map_color_p02_6300x2475.png	5020	nps	npsa-area-map_color_p02	6300	2475	png	10651875	nps_nps-npsa-Area_Map_p02.png	nps	PD-USGov	color|p02	PD: 17 USC §105 — NPS federal-employee work; unigrid system (Vignelli 1977) produced by NPS Harpers Ferry Center	a5f2bdb6ec37022c3e9b1ce6945f166da16517d7eafb03e197cecd4ea98236d5	NPS	National Park Service unigrid brochures, park maps, site bulletins	https://www.nps.gov/
color/5021_nps_pinn-2019-map-update-draft-2_color_p01_4800x7200.png	5021	nps	pinn-2019-map-update-draft-2_color_p01	4800	7200	png	5813600	nps_nps-pinn-2019-map-update-DRAFT-2_p01.png	nps	PD-USGov	color|p01	PD: 17 USC §105 — NPS federal-employee work; unigrid system (Vignelli 1977) produced by NPS Harpers Ferry Center	4bc6029abb5f2a459194b68dabfa2f1975d32f9de81636ce5a1855bcf3e4b1bd	NPS	National Park Service unigrid brochures, park maps, site bulletins	https://www.nps.gov/
