id	path	sdr_url	sdr_present	hdr_url	stem_differs
1000	1000-lilith-photos-general/1000_general_red-convertible-car_mission-hills-san-diego-california_note9_iso50-f2p4_20190514-100811_4032x3024.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1000_general_red-convertible-car_mission-hills-san-diego-california_note9_iso50-f2p4_20190514-100811_4032x3024.sdr.png	1		0
1001	1000-lilith-photos-general/1001_general_oceanfront-resort-view_sheraton-waikiki-east-honolulu_s21u_iso32-f1p8_20210602-055442_4000x3000.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1001_general_oceanfront-resort-view_sheraton-waikiki-east-honolulu_s21u_iso32-f1p8_20210602-055442_4000x3000.sdr.png	1		0
1002	1000-lilith-photos-general/1002_general_oceanfront-hotel-building_ka-anapali-beach-kaanapali_s21u_iso640-f1p8_20210608-052615_4000x3000.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1002_general_oceanfront-hotel-building_ka-anapali-beach-kaanapali_s21u_iso640-f1p8_20210608-052615_4000x3000.sdr.png	1		0
1003	1000-lilith-photos-general/1003_general_docked-boat-pier_brick-palace-lahaina_s21u_iso50-f2p2_20210609-124821_4000x3000.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1003_general_docked-boat-pier_brick-palace-lahaina_s21u_iso50-f2p2_20210609-124821_4000x3000.sdr.png	1		0
1004	1000-lilith-photos-general/1004_general_paint-color-samples_s21u_iso200-f1p8_20220304-144007_4000x3000.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1004_general_paint-color-samples_s21u_iso200-f1p8_20220304-144007_3000x4000.sdr.png	1		1
1005	1000-lilith-photos-general/1005_general_la-pedrera-rooftop-terrace_l-eixample-barcelona-spain_s21u_iso50-f2p2_20220304-165729_4000x3000.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1005_general_la-pedrera-rooftop-terrace_l-eixample-barcelona-spain_s21u_iso50-f2p2_20220304-165729_4000x3000.sdr.png	1		0
1006	1000-lilith-photos-general/1006_general_church-steeple-among-trees_s21u_iso50-f1p8_20220304-182325_4000x3000.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1006_general_church-steeple-among-trees_s21u_iso50-f1p8_20220304-182325_3000x4000.sdr.png	1		1
1007	1000-lilith-photos-general/1007_general_street-building-with-trees_shinjuku-gyoen-national-garden-shinjuku_s23u_iso10-f1p7_20230702-090345_4000x3000.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1007_general_street-building-with-trees_shinjuku-gyoen-national-garden-shinjuku_s23u_iso10-f1p7_20230702-090345_3000x4000.sdr.png	1		1
1008	1000-lilith-photos-general/1008_general_city-view-through-window_tokyo-skytree-sumida_s23u_iso50-f2p2_20230706-142333_4000x3000.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1008_general_city-view-through-window_tokyo-skytree-sumida_s23u_iso50-f2p2_20230706-142333_3000x4000.sdr.png	1		1
1009	1000-lilith-photos-general/1009_general_aerial-cityscape_tokyo-skytree-sumida_s23u_iso50-f2p4_20230706-144950_4000x3000.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1000-lilith-photos-general/1009_general_aerial-cityscape_tokyo-skytree-sumida_s23u_iso50-f2p4_20230706-144950_3000x4000.sdr.png	1		1
