source	origin_id	reason
3005_aic_mitsuke-ferries-crossing-the-tenryu-river-mitsuk_4368_3000x2240.jpg	3005	FAIL /home/lilith/work/codec-corpus/imazen-26/3000-art-institute-of-chicago-photos/3005_aic_mitsuke-ferries-crossing-the-tenryu-river-mitsuk_4368_3000x2240.jpg — write-verify: 287288 of 315000 bytes differ after a lossless round-trip — the codec converted the pixels (asked for PixelDescriptor { format: Rgb8, transfer: Gamma22, alpha: None, primaries: AdobeRgb, signal_range: Full }, read back PixelDescriptor { format: Rgb8, transfer: Srgb, alpha: None, primaries: DisplayP3, signal_range: Full })
3006_aic_hamamatsu-from-the-series-fifty-three-stations-o_4371_3000x2235.jpg	3006	FAIL /home/lilith/work/codec-corpus/imazen-26/3000-art-institute-of-chicago-photos/3006_aic_hamamatsu-from-the-series-fifty-three-stations-o_4371_3000x2235.jpg — write-verify: 286493 of 313875 bytes differ after a lossless round-trip — the codec converted the pixels (asked for PixelDescriptor { format: Rgb8, transfer: Gamma22, alpha: None, primaries: AdobeRgb, signal_range: Full }, read back PixelDescriptor { format: Rgb8, transfer: Srgb, alpha: None, primaries: DisplayP3, signal_range: Full })
