art-cc0/images/aic/111377_for-sunday-s-dinner.jpg	1269	2250	sRGB	0.0982094
art-cc0/images/aic/11_self-portrait.jpg	4000	5226	sRGB	0.458319
art-cc0/images/aic/181777_the-irish-question.jpg	4000	4860	sRGB	0.560109
art-cc0/images/aic/23119_village-among-the-trees.jpg	4000	2832	sRGB	0.190381
art-cc0/images/aic/253_hydria-water-jar.jpg	1169	1559	sRGB	0.156978
art-cc0/images/aic/4368_mitsuke-ferries-crossing-the-tenryu-river-mitsuk.jpg	3000	2240	sRGB	0.257237
art-cc0/images/aic/4371_hamamatsu-from-the-series-fifty-three-stations-o.jpg	3000	2235	sRGB	0.272145
art-cc0/images/aic/4715_rounded-jar-depicting-abstract-fish-or-sharks.jpg	2848	2250	sRGB	0.119263
art-cc0/images/aic/66042_trompe-l-oeil-still-life-with-a-flower-garland-a.jpg	4000	2883	sRGB	0.250096
art-cc0/images/aic/7624_komurasaki-of-the-miuraya-and-shirai-gompachi-mi.jpg	676	3000	sRGB	0.335433
art-cc0/images/aic/80607_self-portrait.jpg	4000	5097	sRGB	0.21152
art-cc0/images/aic/862_portrait-of-an-artist.jpg	1783	2250	sRGB	0.305587
art-cc0/images/aic/874_landscape.jpg	2829	2250	sRGB	0.336665
art-cc0/images/aic/90048_distant-view-of-niagara-falls.jpg	4000	3099	sRGB	0.392824
art-cc0/images/aic/9119_single-spout-vessel-with-molded-abstract-figure.jpg	2719	2250	sRGB	0.0945204
art-cc0/images/met/10997_still-life-violin-and-music.jpg	2832	3722	sRGB	0.290151
art-cc0/images/met/11597_marine.jpg	1801	2140	sRGB	0
art-cc0/images/met/11774_landscape.jpg	2362	1585	sRGB	0
art-cc0/images/met/206979_wall-light-one-of-a-pair.jpg	3811	3049	sRGB	0.113938
art-cc0/images/met/207138_chinese-figure-with-bird.jpg	2978	3722	sRGB	0.0795604
art-cc0/images/met/226943_portrait.jpg	2257	2665	sRGB	0
art-cc0/images/met/24693_shield.jpg	4000	4000	sRGB	0.237673
art-cc0/images/met/337532_marine.jpg	3795	2667	sRGB	0.265299
art-cc0/images/met/337533_marine.jpg	3790	2664	sRGB	0.114621
art-cc0/images/met/340070_portrait.jpg	2872	3623	sRGB	0.34868
art-cc0/images/met/359362_landscape.jpg	3869	2896	sRGB	0.265519
art-cc0/images/met/3689_jamb-stove.jpg	2002	1717	sRGB	0
art-cc0/images/met/374222_portrait.jpg	3150	4000	sRGB	0.680311
art-cc0/images/met/38059_manuscript.jpg	900	239	Gray	0
art-cc0/images/met/40336_shiraito-waterfall-at-hakone.jpg	4000	2826	sRGB	0
art-cc0/images/met/435904_still-life-with-a-skull-and-a-writing-quill.jpg	3811	2569	sRGB	0.352545
art-cc0/images/met/437323_a-brazilian-landscape.jpg	3811	2513	sRGB	0.105875
art-cc0/images/met/447107_manuscript.jpg	1200	912	sRGB	0.218358
art-cc0/images/met/479496_vessel.jpg	2505	2596	sRGB	0.201762
art-cc0/images/met/4938_manuscript.jpg	1925	2366	sRGB	0
art-cc0/images/met/53427_six-jewel-rivers.jpg	3841	2149	sRGB	0.339
art-cc0/images/met/632414_interior.jpg	2632	3607	sRGB	0.225988
art-cc0/images/met/789145_a-molted-cicada-shell-utsusemi-soga-gor-tokimune.jpg	3000	4000	sRGB	0.222616
art-cc0/images/met/898372_still-life.jpg	3743	4000	sRGB	0.280504
